hour,day_of_week,nearby_demand_score,total_ports,fast_charger_ports,historical_sessions,queue_minutes
11,0,33.23146253551089,14,9,451,8.82346168543825
1,4,54.24786357193675,8,6,333,27.758023767445387
9,1,49.32768467837996,6,0,486,59.56823094283978
3,0,8.15264895524267,9,6,309,1.8503055763447769
13,1,40.32613611238318,15,2,299,13.444404655692814
15,6,22.056112492232327,14,8,86,2.2890280496289237
14,5,41.83997886676527,16,5,307,2.135329307792751
7,2,20.35782803422427,18,8,146,0.0
13,4,84.04524062769335,16,4,115,4.572831351086603
22,5,17.419333657825366,19,6,104,0.0
7,0,96.0780551486977,19,3,144,11.384023256204625
20,6,41.59073661469408,3,6,77,13.925136056537074
15,6,84.62452920190493,5,0,156,49.20557034022941
12,6,62.876481820594506,2,6,499,60.40193978958556
17,0,73.53502986657526,5,7,487,73.38188360803049
14,0,76.77238880667802,19,4,168,3.030566555463521
20,0,50.48448818930178,6,1,393,66.58250832883468
23,0,54.33005233632884,16,4,172,3.1190140295327358
12,6,51.3995867808725,9,5,450,39.923662429594216
8,6,58.80583780900792,18,1,350,21.27465049049325
14,1,2.9394445756507293,2,5,198,3.0165396991813114
12,5,39.551516984901525,13,5,424,22.996459972724075
0,4,60.618871356117154,16,0,348,33.1453280125983
6,2,59.77235652558643,10,0,104,9.853789970937791
8,6,79.29560946056316,8,9,190,16.450252850148978
23,2,65.50093388321085,3,2,297,61.51312213859164
0,5,99.21333163406723,10,9,331,33.9064694732487
11,5,28.3854528608645,11,9,196,0.0
7,2,35.915102966623145,3,2,381,45.92429428186856
23,6,38.38471518677963,12,3,147,2.4542486457226764
10,2,46.581280702024856,14,1,139,12.154316178094499
18,1,83.59980637812095,11,8,203,24.81056240951603
16,3,23.579209395920987,15,9,325,3.656901262874962
7,6,77.60002070354295,19,6,481,33.85212065802879
2,6,40.53101830857434,10,6,282,9.754776469584446
2,4,60.18553836620085,8,5,361,36.88620577270888
0,0,63.25405332263061,4,2,153,38.07431406930709
4,3,37.28486371889345,7,5,25,4.361576900142252
9,5,51.26152052058052,3,7,311,24.015663699921618
6,6,41.3031174647697,7,7,432,32.95234966616228
8,2,6.913278618661945,4,8,254,0.0
6,3,43.71653888168265,17,0,424,30.622639930918908
8,4,9.739339255355217,9,0,116,0.3659849550084725
7,5,40.50207990803215,3,2,97,17.199825010024774
11,0,59.291839983178185,18,2,138,7.404457477124418
1,0,57.941489934350074,10,9,404,21.952155167928982
0,4,66.26212790083204,13,7,384,18.93333330850018
15,4,9.526150795462629,4,9,350,2.795426117882669
22,2,65.21232455304379,12,0,13,10.799635860574268
22,6,31.214805669644708,2,1,336,48.35347675630761
23,0,39.90459461371111,14,1,419,33.86777073159973
4,5,85.79862539227058,16,2,376,38.24663630240007
2,3,0.9030404129550251,6,5,315,17.377469789871967
11,5,58.84126333406054,18,0,405,35.24450822192018
7,1,59.87139801001076,7,1,104,29.712652695000454
21,1,39.665977634356196,12,0,218,16.874416649291955
2,4,23.702785710833616,19,4,234,2.666796223527247
0,2,23.46740382615511,5,6,468,34.73104443566958
2,1,88.37096696607526,4,7,357,56.976457041808914
4,0,44.20243737828575,14,9,489,21.28806021603401
14,5,33.08893629891719,10,0,330,33.90545314982349
13,5,44.877757383140306,7,6,56,0.0
2,4,66.93904014593613,13,4,485,41.11078986318776
0,6,14.57565682447517,3,9,190,1.6630375516209877
4,6,44.94338352137377,4,0,115,30.637332122392227
22,3,58.7884371110387,4,2,208,35.080615051636315
13,4,94.85833548514337,13,6,395,48.255027571143614
6,3,25.252778207541926,16,9,115,7.263083727430897
8,6,35.92507479162455,10,0,289,22.280932800445186
14,4,37.93585899224238,9,6,269,5.683325977139793
14,4,60.553815764488284,12,4,117,5.275032587717459
9,4,35.67320530400016,17,0,28,1.538063340945982
12,6,53.35119252996956,5,0,419,55.952761196149524
18,3,78.17903298450294,2,0,468,103.6505298865872
6,3,70.53855941122036,8,8,305,27.889614013202443
16,4,44.636864651258556,3,2,315,42.015667566832974
19,1,86.42161776741689,6,4,180,45.03126126436581
3,2,55.81402495938629,8,9,340,12.327933397555608
4,6,53.99058395022125,5,8,204,14.800338226519655
22,2,3.4187765939158177,6,5,21,0.0
6,2,98.66929803571615,2,8,204,46.79783606607843
12,3,12.297080852962672,2,7,499,30.257771204619736
14,3,23.11309124276466,16,7,292,16.215464847973667
10,1,5.169683724152696,11,0,378,29.924423115156902
3,2,64.00029668369137,19,8,191,0.0
12,2,22.470117697267998,4,5,459,33.60337383597743
6,4,18.001043747272348,12,8,314,4.9779075700101485
18,3,8.855558422324139,16,2,153,8.51586304959019
21,2,10.330895712401567,12,2,395,6.475302569020702
1,5,58.467070044258875,18,5,325,1.8016576953560044
9,1,68.82078658665954,18,8,191,0.0
12,5,39.7378988464401,7,6,39,2.913687915869322
20,5,47.989708159207325,6,2,93,32.779222032141654
5,6,68.59677359829841,9,2,175,33.14724407406845
11,6,1.7379790185479638,3,1,293,15.17050186744744
11,1,32.31306570702785,17,8,290,0.0
19,5,97.30977480703464,13,2,105,46.44495838002805
10,2,58.01122296954681,7,4,390,37.86463011994722
22,3,25.422457989749326,2,8,275,2.11878967293147
6,1,52.17300466362131,5,7,453,41.11182106160757
0,4,34.26534881209153,18,1,307,12.798552847139156
0,5,53.22449888262991,14,2,305,22.50196378070857
19,1,12.574151180664883,19,1,234,1.397833659419998
12,0,13.271465381927738,6,7,342,7.03892153023434
8,0,14.354236203939285,4,5,370,19.324204289965724
2,6,93.98197919268418,12,5,383,39.55075403664125
6,3,73.28989183413418,14,8,51,0.0
5,2,16.23818946623209,5,7,312,10.925494258185118
7,3,18.834908376560143,15,3,430,15.025846895162577
8,3,73.08294748708764,12,3,255,29.881772773377918
4,3,15.616384479217393,11,8,217,0.0
0,3,23.456129333482867,19,0,246,0.0
18,4,96.3346832820399,7,1,31,38.38201640880568
9,4,25.530652472843187,16,1,194,0.8923833194269487
11,6,66.16323503711467,11,5,477,50.92590605762518
23,1,97.86312874005304,6,3,251,45.660903709816
14,0,37.42967671397926,6,9,372,13.985199990400858
21,3,1.7515990862062236,11,2,292,3.7213334366537643
23,6,24.414729042237425,6,2,50,6.264213172137419
8,1,83.08771913417054,4,2,345,59.80273648558452
19,0,86.46088359550367,7,5,171,42.86919015142236
16,5,76.85193645237912,5,7,169,14.481352514109144
16,2,11.310981907657302,19,6,483,0.5171906465405319
19,4,79.55103716964031,10,3,98,45.785898785538876
11,5,91.86777969935042,18,3,331,35.42068215949858
6,0,60.06095425462361,14,9,21,0.0
1,5,94.08753563380648,16,1,433,56.95417937073817
2,2,82.68388837118775,18,0,82,13.486484165850866
16,6,66.69715169909072,14,8,85,0.0
4,0,57.718523671174815,17,1,355,31.47566141397593
16,5,34.85736672419705,5,7,210,8.557490977657297
23,4,15.928744524280514,6,8,19,0.08806625966828657
16,4,60.49539226905408,6,3,361,40.47086599813579
16,1,31.81115536181195,10,7,235,6.517539659673796
1,5,86.64386675276454,18,8,185,5.145447103047818
1,3,99.33369373586285,14,9,285,20.402242681094915
21,5,75.24277626155725,3,9,48,14.43051239918831
22,6,9.048169528705074,14,4,69,0.0
4,0,28.86855955306381,4,6,75,0.0
0,0,10.910963176574972,11,9,330,0.0
0,6,65.05116477917157,3,3,444,53.070239624145344
18,5,76.51908645557846,14,0,133,40.91725512988026
1,6,92.56748308807119,18,2,173,12.42801715234384
20,2,43.817234641198766,15,4,417,30.466398164270572
11,6,90.13756495884444,13,2,420,44.69084243402956
5,4,87.78911590413276,13,6,395,38.96420948811191
22,6,31.71957167653986,12,8,168,0.0
3,0,86.8900625540571,8,5,66,17.411550211096728
22,4,37.56722518817265,5,9,87,0.0
10,0,29.68692745602808,2,0,203,25.28229496083084
23,1,64.90746587943931,4,6,294,38.17558225745253
16,3,32.83812278850811,14,2,24,0.0
5,0,63.02087483291442,16,4,21,1.5817916076807237
23,4,60.98318054986945,3,9,110,4.06534684431361
4,1,56.34389273484588,12,3,165,12.577260081278352
19,0,38.04197042327977,5,9,349,38.437375398220205
1,2,54.849972165147676,18,4,134,2.9308290019639167
5,6,59.64854749854216,4,4,368,44.56220465818868
21,3,54.56868884954734,19,5,289,4.4703392765533065
10,0,44.441945275120155,9,9,414,17.417646764909023
15,1,1.466705704626381,6,9,403,2.072753775786834
15,2,58.706170770115094,8,5,119,8.625030124315028
0,5,16.844438514271964,9,7,343,2.9005432277090337
8,1,64.25759689471896,6,7,366,36.789265212730356
5,6,75.9344327922866,18,8,155,0.0
15,1,50.04453091307415,6,7,225,9.442871321587178
2,2,54.23636649797383,5,1,407,47.87547047983086
19,1,95.14785596659911,3,9,171,38.67257246078101
3,2,84.71673613725741,12,0,137,25.971954607526314
18,0,91.42365159514699,14,9,323,38.80913833159414
2,2,81.37662883195864,16,1,341,35.32437683851991
18,2,10.891834184673144,13,1,159,9.913989413492052
19,3,14.899185597019471,12,2,463,38.923161542272545
6,2,52.662379726895956,8,9,45,0.0
19,2,24.606965879799823,6,6,182,18.77836086100836
8,5,47.66954750411592,18,1,429,31.78876698001651
0,0,39.43653238183502,10,0,31,0.0
7,6,54.941423843045335,15,5,215,6.0716696359976225
6,3,74.68757161358226,13,8,136,0.0
17,5,71.54909070992744,7,2,345,65.76289723870539
7,4,52.12341324853343,18,5,454,14.139214589491896
0,0,82.23934188170581,17,2,365,28.654138678180015
10,0,43.08620915380333,13,0,449,38.52901862883683
17,4,89.67142898401224,13,4,226,43.817069760631945
22,6,7.12802700551639,7,9,105,0.0
9,2,95.46600300333074,5,3,426,65.41284871055257
2,5,65.46930814313482,7,6,438,42.535158760911735
6,1,38.00745089372053,12,5,173,1.34647376290367
15,3,19.715412657287736,2,9,157,0.0
15,1,47.91832294435999,16,6,27,0.912505152996067
19,4,19.4558323185301,12,4,303,15.677340156993882
16,0,16.633160774314216,19,3,204,5.858589573580798
1,6,61.73517574129742,18,6,160,0.0
0,0,52.30847245817847,15,6,489,29.492037714522834
15,3,67.00960346109417,19,5,374,23.8142571953469
11,0,92.96058774219892,16,7,132,9.084834334843942
4,0,53.226021333904015,16,3,409,25.500389531627864
4,3,58.09320532627977,5,9,196,9.005117429824992
22,5,8.962633915494212,8,4,462,27.861755212978387
8,5,71.76357859086295,14,3,461,37.866914669123105
8,3,39.99052068041562,4,0,158,22.944639038309592
2,6,97.67252386625789,17,7,113,3.1484731056703423
18,4,82.31740155956602,10,0,252,67.54696956734301
15,0,52.24810405161183,9,4,471,45.122890206010396
15,6,12.322265417216604,14,5,240,0.0
2,0,85.94157932805892,18,5,488,39.21925113710495
19,4,79.97810954240217,18,4,215,25.41743905071961
23,5,18.4585129537033,18,2,207,0.0
21,6,29.527828922031006,2,4,405,44.158362253799396
23,2,79.34072581478372,9,7,409,34.71164726107434
0,2,18.522844654740965,7,1,346,34.90532660604235
23,2,91.77524891713773,4,5,96,36.62877290949198
19,5,42.45274251963619,6,8,151,20.780679612836586
10,5,8.703896258765864,14,7,326,0.0
16,4,81.57486435042809,16,7,208,7.837728579818501
7,0,37.35096830383876,15,7,55,0.0
3,4,52.6499194153781,17,6,297,1.4016476723550344
5,4,11.230434441121917,19,7,24,2.4682742382157543
7,5,0.2584014844982385,12,5,53,6.480315308906981
19,2,63.79852057932977,4,1,410,71.36347620565262
2,1,51.51751703337316,11,1,178,16.73122883176025
15,0,59.35385691231472,11,7,319,17.82043235499475
2,5,79.37438503805163,17,0,53,4.008246508063385
17,2,64.66059134228601,13,5,107,19.98704187993501
13,6,17.477344282737718,3,5,270,11.118720482655814
17,1,36.07725191105998,10,3,118,14.861674199644872
1,1,90.58911047877604,4,9,292,37.234808379828635
21,5,76.9944700251679,16,2,381,34.65054248398558
2,3,55.663705793671724,4,2,352,48.99662796943309
15,0,25.56449978092723,19,0,113,0.0
8,1,30.206050183479505,9,2,265,15.743735680346425
3,5,73.19580675856345,18,3,388,26.755595270880015
0,5,85.11742608527709,9,4,215,35.65633639655332
3,2,67.14246695306144,8,2,344,54.23931981899215
0,6,80.95299757684418,8,5,52,15.375934952617731
13,3,76.6656135200406,4,4,362,59.51339783457594
20,0,14.970396795695773,2,2,254,30.934088772080575
15,4,42.3944812913302,5,5,296,26.586047842133947
19,6,15.298380082856266,6,5,364,26.5623484465728
23,6,23.52355848019848,2,7,282,7.57715460243974
7,2,86.92596246510526,16,1,485,53.266124195257454
6,1,47.289196563318214,6,0,92,26.804094953726974
2,1,53.53581018426608,14,3,119,6.417984235481268
16,2,17.844596522777213,9,6,447,18.837321871660606
0,5,31.2271786048796,9,9,199,0.0
15,1,23.024616842786994,6,2,480,40.53090516445381
11,3,20.61861645184264,10,2,297,15.51780827043
18,0,63.796079331597014,2,4,433,75.0757208136915
21,6,25.68838476457148,5,4,406,22.22522446488201
22,6,63.201548602041846,4,9,260,18.14918506092156
21,3,5.845461410855391,3,2,221,12.702341884684115
13,1,14.177439352710186,9,8,300,2.6814545475859495
5,6,27.45402540001254,10,3,142,0.0
5,4,59.70469168956917,3,2,210,38.04172596738529
12,0,67.5841245087376,15,1,294,30.907306103763567
18,0,44.27169667795271,15,9,335,17.883908281557424
21,6,44.579091457722896,5,8,418,33.55383365004864
7,2,72.45168513986181,7,3,104,26.53869916397493
1,6,1.582109176558244,12,2,287,0.0
20,2,34.10900244742206,4,6,459,42.4144905380945
0,6,81.87070571192328,9,7,438,43.77008907065465
14,4,60.321941021337224,4,1,334,57.56912963671141
0,5,33.722713275542034,15,6,228,6.967272637622157
4,0,90.55247923296739,14,4,98,18.628985127972616
15,6,77.26227274493826,14,4,81,8.877840486477801
18,4,26.48954472367334,3,2,256,43.7429706037665
3,2,64.52898375257169,14,4,138,3.28389814248194
2,2,59.57507281889567,7,1,221,34.23723494167973
16,0,40.11879140389827,17,3,437,29.104743331080794
16,3,36.695607920480064,3,5,352,27.83501393128065
11,6,34.35604747757039,9,0,105,17.75191769233445
13,1,61.71557833956468,18,9,84,0.0
20,2,44.24099364806695,3,3,432,71.94765736950887
5,5,83.1863113251422,11,5,63,3.8590806150834123
2,5,66.96026161339618,17,8,353,13.709651812521342
8,2,6.993160570943413,7,1,468,29.612729605733602
4,3,64.01682238281661,3,6,422,43.13207523178738
23,3,27.11474365001848,3,5,63,1.0926702120547285
16,4,59.28119916534227,14,1,227,26.387958525650983
13,5,68.01319311034514,16,7,25,0.0
20,4,23.08291891540121,3,6,108,5.846379655408599
2,5,45.68586448803686,8,4,29,0.0
0,6,19.03248628190678,4,4,55,0.0
19,6,5.233887578650831,9,6,460,30.35854192709791
20,1,37.84764234858691,15,8,202,4.871794031115895
22,6,36.2944271845992,8,8,392,17.050137685937134
0,1,99.5480490704257,8,8,67,25.75154110918417
2,6,44.63523511976422,2,5,446,49.03879128255856
17,0,33.35695494722004,18,9,120,0.0
9,6,58.047500671667464,10,5,138,0.0
21,4,8.876739410776846,14,2,346,3.7250721038075874
2,2,96.16657359548132,18,0,203,30.701352070684987
7,4,63.49600455910331,11,6,422,38.74952626095901
13,2,75.48378199408478,11,3,349,43.95430911737667
23,3,17.047793817391753,5,0,335,26.127051300532788
17,4,40.94778530052039,9,7,17,0.8612719320551875
14,3,42.26891133961895,19,5,38,3.357655858645267
21,1,82.18064439010868,15,5,121,15.830478991993505
22,1,0.12366797594094425,19,1,444,7.899353825040776
1,0,30.085310835325508,15,0,170,5.846888689220147
9,6,98.12363743443039,16,1,140,28.362248690291015
1,4,47.488654350621864,5,3,197,26.38588720242818
16,3,38.25262802440083,14,1,172,11.573838515731207
7,2,11.982900201764634,9,0,206,1.9275631134840712
0,1,97.41646286280155,19,6,484,39.361034795316
8,6,2.002635592582447,13,7,373,0.0
10,1,73.71802250072432,15,5,213,15.054776843992776
21,2,76.85998047885084,3,3,221,51.68110111767936
15,6,24.365671606386663,19,5,118,0.0
6,6,67.15584436130374,3,2,285,38.12640034330468
9,3,9.292914437938993,12,7,82,0.0
22,3,25.704726643207987,10,9,176,4.567368660087033
2,4,78.7901988292265,13,1,269,39.983248929362645
17,4,86.46861920335402,18,4,252,37.5752408407299
23,5,60.84864126597913,16,0,284,25.42435412361717
12,5,50.683843182048264,18,5,111,0.0
6,0,15.93040206189803,19,1,484,17.94167263907136
3,1,6.310903307915017,7,3,182,0.0
12,4,11.764902847355863,18,5,180,10.920483666902282
19,3,22.735730009609878,19,9,150,2.85253604177258
0,2,34.16745018969208,9,7,406,15.780483582076284
7,3,38.090952551098724,10,7,197,0.0
13,1,34.63217685890035,7,5,450,32.85136739638224
15,5,23.90553321972656,6,3,95,0.0
13,3,50.97242467516981,13,7,485,32.570381215234676
11,0,82.52861082328968,12,7,61,3.296386260365074
18,1,27.970353847147923,2,9,120,6.327018229031319
22,5,94.23870191022331,12,0,446,77.17155438089057
14,2,87.33366617238478,10,3,374,52.3133747437935
1,5,16.176421135210962,3,3,351,32.032408947449966
1,6,78.62759567570944,13,6,52,0.0
22,0,57.458738231776664,5,6,220,24.54494725461095
21,1,56.65753621714186,5,7,465,45.3843180642869
18,2,39.10427630581744,19,4,209,0.0
21,0,50.115299918200975,16,6,307,15.834025511403691
21,5,39.717877742921104,14,7,355,12.812161176073287
16,0,53.97326187599428,18,8,249,0.0
19,1,62.795005277263584,7,2,124,33.28615393635251
9,4,67.43038064090484,17,2,35,1.73780806901776
5,0,53.24811925594262,13,3,416,33.6575481250433
14,6,72.14220673287318,6,4,308,44.64944810925273
21,0,14.12780492755058,18,9,86,0.9578869809704481
10,5,21.198249090223854,2,0,421,51.230329491641555
4,5,81.87350040742702,11,6,146,22.77327870067254
0,2,32.252797784641515,16,8,29,2.8405160256432307
7,5,2.2893824976120247,12,7,449,0.0
20,3,15.379114966803108,14,4,220,11.502371746963814
11,1,22.361443449631125,6,3,249,23.283794542257
11,1,95.73228878945872,2,6,48,46.426428067289784
4,4,57.30414289308493,13,4,444,29.43460128034448
6,4,93.27307404762549,12,6,277,33.550947089564126
3,1,57.516335049662494,18,0,216,3.9476740088863096
5,6,47.93544401378518,5,0,488,65.53346778878864
12,4,31.372769119409604,16,9,448,0.0
19,2,60.63709444333756,10,2,471,76.03577619579355
14,5,13.919802461752983,13,1,276,1.6868263807835815
2,1,89.82616272927059,6,1,163,37.767166174798994
22,4,82.93324051412837,11,6,51,4.210301553551589
7,1,31.753144787673705,18,9,420,0.0
19,3,95.27975276012943,6,1,20,53.395373652601265
15,0,82.5200767415568,17,3,303,18.234623139496797
12,5,66.63068858350397,8,1,107,25.15763219766778
17,1,12.17619111252748,10,5,436,19.299036456982755
9,0,47.823402304807225,4,7,284,21.710212129720404
18,4,50.61075548467508,16,9,457,35.22226852136021
16,0,23.25513583653801,17,3,399,10.33080737544799
23,5,7.9965394359301945,19,4,439,0.0
18,1,77.67236304716927,15,3,381,52.780164078889214
22,3,12.203505212439502,4,2,239,16.091836966441985
4,6,59.429075056177474,13,4,378,31.877689257305768
20,4,93.64491738836605,10,8,435,54.488166877778895
22,1,87.61051925980425,8,7,229,32.668095999138785
8,5,27.775262374926115,10,7,74,0.0
11,4,85.14486375512654,14,7,364,26.823009115744213
20,2,0.03325061204894064,19,7,241,0.0
0,0,1.7687809613257222,6,6,337,7.751024611019053
0,6,60.255316384286495,14,7,452,26.440812455527592
14,5,36.47982191445295,5,7,61,0.0
1,2,38.64608411591471,3,7,383,25.698076428872287
21,1,56.44410906788825,17,9,440,12.215454581681152
15,3,19.17824555918606,10,6,385,9.693786070270244
7,4,21.175535066547834,10,0,272,14.89214698509519
12,0,48.46015870188647,7,3,276,26.42591040338334
20,4,75.4253544343863,12,3,368,59.9935172029896
0,6,61.94977514075877,2,4,326,44.98642470603332
15,1,29.73550482368389,5,9,333,10.72729619169658
6,4,43.03371775089212,14,5,418,31.16654181584878
4,0,17.06647585499984,14,3,405,4.914824743080303
21,1,7.462981433708171,14,1,163,0.0
22,4,78.26960407441493,3,5,367,58.7527503612005
2,3,26.53874091881946,10,7,375,6.376155152939212
11,5,17.77663878512482,9,7,149,0.0
15,1,69.16180555693194,8,6,436,40.275120887810395
18,5,61.8051674287186,5,5,60,25.60358301052173
4,1,63.318962601346406,19,1,126,11.252171861154908
21,3,22.889460484661363,4,6,430,32.455372535421276
13,5,23.2645538562681,7,4,55,4.311117559434885
4,2,22.080262978563916,13,5,318,0.0
14,0,17.375259566229452,13,9,97,0.0
16,2,65.57236725616563,9,7,217,1.2907903306556854
13,4,84.80158852494014,2,7,386,51.95389015705629
19,3,72.43174696766613,5,2,278,67.79938941576135
4,2,79.20936337605433,12,6,98,9.989414266769023
11,1,40.479842908519984,4,0,390,50.132355139499374
15,4,65.40757953719981,14,0,127,17.292288350009642
15,4,35.42362404447745,18,6,63,0.0
20,2,52.550462196864004,11,9,450,38.29902551044092
6,2,48.163484653486236,13,8,125,3.829391397403074
3,3,17.68871451438544,16,6,127,0.0
0,0,38.70787603356308,11,9,269,1.4982384391867407
4,2,96.3822275482351,15,4,84,19.25328812889088
22,6,24.85802577149421,14,7,489,10.253511440930264
9,2,13.380373627948872,6,1,314,26.593689874577358
21,5,41.85806216239353,7,8,16,14.073272222362764
4,1,79.03377358601482,3,5,375,55.49517282807295
3,6,58.21482297799723,18,8,131,1.966535250026618
1,6,68.09748272382446,5,1,20,19.35845594360527
19,5,18.96948481746772,15,2,357,25.090998221744112
9,5,61.894819300772156,11,7,447,34.9487677752976
18,4,32.35003949114738,4,0,498,73.94923144692439
0,0,83.43033659547675,4,9,224,24.016691699194094
23,1,62.92988060107362,16,6,438,26.29674915716406
4,3,19.885627777529592,7,6,288,14.053793582352984
12,6,6.4616679844086145,18,0,37,2.2431788225726366
3,3,4.263320928703274,13,8,244,4.809935945359205
15,2,37.14085676501407,12,7,376,9.985368532443902
23,2,26.585113665431347,5,3,322,30.24205802983423
15,3,64.60901234625081,7,9,35,1.3963391910826297
22,2,49.933383497861826,2,4,418,46.01213810049477
1,0,26.60192780053807,17,1,63,1.5926050239943723
16,5,14.923777795017612,16,8,38,0.0
19,2,12.71997626874496,18,5,476,14.79558675994852
23,4,86.46603921404177,9,2,362,56.379661143482764
11,2,24.347796840486723,13,6,173,1.4862213669006201
17,1,65.17106479109684,11,8,279,23.53937007016277
2,0,81.06859279862663,16,2,343,42.104225255227696
0,1,61.408131118473605,10,1,44,14.964096950739165
0,1,85.95652316469457,3,6,295,44.95461940429287
18,4,39.23937215284745,6,6,357,32.63176209417785
10,0,95.62221906489484,7,3,282,52.286586637040266
4,0,13.314500417809693,8,8,460,10.427531639599048
11,0,10.21495296575381,2,7,217,2.3731787681420218
2,0,65.86921462074436,8,0,247,39.81902400459435
0,0,94.28311414132618,13,0,423,53.40427276693805
0,4,80.8883461636328,17,4,102,2.7024383903106126
7,2,7.641685943805143,17,5,182,0.0
9,1,27.936771393471638,12,2,88,3.1683051238702937
10,0,93.03188848378237,5,8,119,20.924945868835934
11,6,25.305843280078456,14,9,226,8.39337336686283
12,2,78.11704237869192,8,5,444,42.900318436087176
11,2,82.51321959287039,5,3,367,65.51244728544833
13,1,49.54521034609818,16,6,115,0.0
1,4,38.63489098483155,10,7,56,4.297924361717781
18,3,45.012443241975966,12,8,190,8.905229041281652
17,3,22.696469436536415,9,5,73,6.346012398395552
2,2,88.93909161288443,2,5,255,49.03273598367816
22,5,45.06196567297579,9,7,253,3.3378807105988297
16,5,88.24594404560997,14,4,431,54.3254934591603
7,1,10.56934799062741,5,2,329,21.617270765902997
9,3,98.82752710001313,9,2,96,36.12155591812762
1,2,44.32730874436183,4,5,226,27.93741394240489
18,4,4.783082039410546,10,1,499,39.131764809233104
8,3,3.8021848237454914,3,5,16,2.9774544881962868
6,2,74.62072574818386,3,5,287,42.06088909177747
3,2,65.90355342036808,14,7,346,17.890929931962184
20,0,80.21305581275875,16,6,219,27.36792273330082
17,4,10.536753395280595,13,7,178,0.0
12,0,3.557086703554835,5,8,339,0.0
10,1,50.857928944757845,9,5,147,13.884328934444621
23,0,38.759523148276955,10,2,450,42.810717517062464
3,6,46.19469366709558,6,9,400,23.784148946911614
20,0,99.1588408870274,19,2,390,60.795037736078164
3,6,97.07499576706702,12,0,315,54.56628535535123
